,compound,negative,neutral,positive,Date,likes,retweets
0,0.34,0.0,0.882,0.118,2017-07-13,76,110
1,0.6249,0.0,0.785,0.215,2017-07-14,96,22
2,-0.2023,0.134,0.773,0.093,2017-07-15,209,67
3,0.5859,0.071,0.709,0.22,2017-07-16,127,50
4,0.0,0.0,1.0,0.0,2017-07-17,2,1
5,-0.1027,0.259,0.741,0.0,2017-07-18,7,3
6,0.1761,0.087,0.8,0.113,2017-07-19,83,39
7,-0.2263,0.213,0.787,0.0,2017-07-20,51,22
8,0.4939,0.0,0.849,0.151,2017-07-21,7,8
9,0.4404,0.0,0.861,0.139,2017-07-22,7,1
10,0.3818,0.0,0.867,0.133,2017-07-23,49,23
11,0.3612,0.0,0.872,0.128,2017-07-24,21,22
12,0.3182,0.0,0.874,0.126,2017-07-25,9,7
13,0.0,0.0,1.0,0.0,2017-07-26,4,2
14,0.0,0.0,1.0,0.0,2017-07-27,2,1
15,0.34,0.0,0.876,0.124,2017-07-28,2,1
16,0.6851,0.0,0.721,0.279,2017-07-29,3,0
17,0.368,0.0,0.813,0.187,2017-07-30,1,1
18,0.2732,0.0,0.84,0.16,2017-07-31,3,3
